Period_dt,County,Period,Unit,Price,Product,Locality
1/1/2022, Vaslui,Jan-22, Lei / kg,2.03,Apples,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,2.47,Apples,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,2.44,Apples,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,2.73,Apples,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,3.45,Apples,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,,Apples,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Apples,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,4,Apples,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,4.38,Apples,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,4.6,Apples,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,4.4,Apples,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,4.2,Apples,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,3.42,Apples,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,3.4,Apples,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,3.05,Apples,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,2.8,Apples,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,3.78,Apples,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,,Apples,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,,Apples,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,4,Apples,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,4,Apples,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,3.25,Apples,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,3.17,Apples,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,3.07,Apples,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,3.69,Apples,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,3.88,Apples,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,3.69,Apples,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,3.5,Apples,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,3.93,Apples,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,,Apples,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,,Apples,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,4.2,Apples,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,5.04,Apples,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,4.67,Apples,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,4.69,Apples,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Apples,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,2.7,Apples,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,2.5,Apples,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,2.5,Apples,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,2.92,Apples,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,3.5,Apples,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,,Apples,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,,Apples,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,3.5,Apples,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,4.19,Apples,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,4.68,Apples,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,4.55,Apples,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,4.5,Apples,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,3.63,Apples,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,3.63,Apples,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,3.44,Apples,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,3,Apples,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,4.25,Apples,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,,Apples,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,,Apples,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,4.5,Apples,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,4,Apples,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,3.3,Apples,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,3.41,Apples,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,3.55,Apples,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,3.63,Apples,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,3.65,Apples,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,3.75,Apples,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,3.63,Apples,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,3.91,Apples,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,,Apples,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,,Apples,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,4,Apples,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,4.88,Apples,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,4.08,Apples,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,4.69,Apples,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Apples,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Apricots,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Apricots,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Apricots,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Apricots,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Apricots,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,8,Apricots,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,8.43,Apricots,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Apricots,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Apricots,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Apricots,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Apricots,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Apricots,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Apricots,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Apricots,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Apricots,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Apricots,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Apricots,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,8.5,Apricots,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,8.33,Apricots,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,,Apricots,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,,Apricots,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Apricots,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Apricots,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Apricots,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Apricots,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Apricots,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Apricots,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Apricots,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,,Apricots,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,6.83,Apricots,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,5.07,Apricots,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,,Apricots,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,,Apricots,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Apricots,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Apricots,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Apricots,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Apricots,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Apricots,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Apricots,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Apricots,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,,Apricots,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,,Apricots,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,8.5,Apricots,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Apricots,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Apricots,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Apricots,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Apricots,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Apricots,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Apricots,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Apricots,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Apricots,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Apricots,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,,Apricots,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,8.5,Apricots,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,9.73,Apricots,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,,Apricots,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,,Apricots,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Apricots,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Apricots,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Apricots,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Apricots,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Apricots,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Apricots,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Apricots,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,,Apricots,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,7.67,Apricots,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,7.29,Apricots,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,,Apricots,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Apricots,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Apricots,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,,Apricots,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Apricots,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Cherries,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Cherries,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Cherries,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Cherries,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,6,Cherries,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,6.25,Cherries,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,6.75,Cherries,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Cherries,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,,Cherries,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,,Cherries,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Cherries,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Cherries,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Cherries,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Cherries,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Cherries,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Cherries,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Cherries,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,10.5,Cherries,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,8,Cherries,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,,Cherries,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,,Cherries,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,,Cherries,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Cherries,BARLAD
12/1/2023, Vaslui,Dec-23, Lei / kg,,Cherries,BARLAD
1/1/2024, Vaslui,Jan-24, Lei / kg,,Cherries,BARLAD
2/1/2024, Vaslui,Feb-24, Lei / kg,,Cherries,BARLAD
3/1/2024, Vaslui,Mar-24, Lei / kg,,Cherries,BARLAD
4/1/2024, Vaslui,Apr-24, Lei / kg,,Cherries,BARLAD
5/1/2024, Vaslui,May-24, Lei / kg,10,Cherries,BARLAD
6/1/2024, Vaslui,Jun-24, Lei / kg,7.25,Cherries,BARLAD
7/1/2024, Vaslui,Jul-24, Lei / kg,,Cherries,BARLAD
8/1/2024, Vaslui,Aug-24, Lei / kg,,Cherries,BARLAD
9/1/2024, Vaslui,Sep-24, Lei / kg,,Cherries,BARLAD
10/1/2024, Vaslui,Oct-24, Lei / kg,,Cherries,BARLAD
11/1/2024, Vaslui,Nov-24, Lei / kg,,Cherries,BARLAD
12/1/2024, Vaslui,Dec-24, Lei / kg,,Cherries,BARLAD
1/1/2022, Vaslui,Jan-22, Lei / kg,,Cherries,VASLUI
2/1/2022, Vaslui,Feb-22, Lei / kg,,Cherries,VASLUI
3/1/2022, Vaslui,Mar-22, Lei / kg,,Cherries,VASLUI
4/1/2022, Vaslui,Apr-22, Lei / kg,,Cherries,VASLUI
5/1/2022, Vaslui,May-22, Lei / kg,22.5,Cherries,VASLUI
6/1/2022, Vaslui,Jun-22, Lei / kg,8.75,Cherries,VASLUI
7/1/2022, Vaslui,Jul-22, Lei / kg,8.75,Cherries,VASLUI
8/1/2022, Vaslui,Aug-22, Lei / kg,,Cherries,VASLUI
9/1/2022, Vaslui,Sep-22, Lei / kg,,Cherries,VASLUI
10/1/2022, Vaslui,Oct-22, Lei / kg,,Cherries,VASLUI
11/1/2022, Vaslui,Nov-22, Lei / kg,,Cherries,VASLUI
12/1/2022, Vaslui,Dec-22, Lei / kg,,Cherries,VASLUI
1/1/2023, Vaslui,Jan-23, Lei / kg,,Cherries,VASLUI
2/1/2023, Vaslui,Feb-23, Lei / kg,,Cherries,VASLUI
3/1/2023, Vaslui,Mar-23, Lei / kg,,Cherries,VASLUI
4/1/2023, Vaslui,Apr-23, Lei / kg,,Cherries,VASLUI
5/1/2023, Vaslui,May-23, Lei / kg,14,Cherries,VASLUI
6/1/2023, Vaslui,Jun-23, Lei / kg,10.5,Cherries,VASLUI
7/1/2023, Vaslui,Jul-23, Lei / kg,8,Cherries,VASLUI
8/1/2023, Vaslui,Aug-23, Lei / kg,,Cherries,VASLUI
9/1/2023, Vaslui,Sep-23, Lei / kg,,Cherries,VASLUI
10/1/2023, Vaslui,Oct-23, Lei / kg,,Cherries,VASLUI
11/1/2023, Vaslui,Nov-23, Lei / kg,,Cherries,VASLUI
12/1/2023, Vaslui,Dec-23, Lei / kg,,Cherries,VASLUI
1/1/2024, Vaslui,Jan-24, Lei / kg,,Cherries,VASLUI
2/1/2024, Vaslui,Feb-24, Lei / kg,,Cherries,VASLUI
3/1/2024, Vaslui,Mar-24, Lei / kg,,Cherries,VASLUI
4/1/2024, Vaslui,Apr-24, Lei / kg,,Cherries,VASLUI
5/1/2024, Vaslui,May-24, Lei / kg,9,Cherries,VASLUI
6/1/2024, Vaslui,Jun-24, Lei / kg,7.25,Cherries,VASLUI
7/1/2024, Vaslui,Jul-24, Lei / kg,,Cherries,VASLUI
8/1/2024, Vaslui,Aug-24, Lei / kg,,Cherries,VASLUI
9/1/2024, Vaslui,Sep-24, Lei / kg,,Cherries,VASLUI
10/1/2024, Vaslui,Oct-24, Lei / kg,,Cherries,VASLUI
11/1/2024, Vaslui,Nov-24, Lei / kg,,Cherries,VASLUI
12/1/2024, Vaslui,Dec-24, Lei / kg,,Cherries,VASLUI
1/1/2022, Vaslui,Jan-22, Lei / kg,,Grapes,BARLAD
2/1/2022, Vaslui,Feb-22, Lei / kg,,Grapes,BARLAD
3/1/2022, Vaslui,Mar-22, Lei / kg,,Grapes,BARLAD
4/1/2022, Vaslui,Apr-22, Lei / kg,,Grapes,BARLAD
5/1/2022, Vaslui,May-22, Lei / kg,,Grapes,BARLAD
6/1/2022, Vaslui,Jun-22, Lei / kg,,Grapes,BARLAD
7/1/2022, Vaslui,Jul-22, Lei / kg,,Grapes,BARLAD
8/1/2022, Vaslui,Aug-22, Lei / kg,,Grapes,BARLAD
9/1/2022, Vaslui,Sep-22, Lei / kg,4.3,Grapes,BARLAD
10/1/2022, Vaslui,Oct-22, Lei / kg,5.4,Grapes,BARLAD
11/1/2022, Vaslui,Nov-22, Lei / kg,,Grapes,BARLAD
12/1/2022, Vaslui,Dec-22, Lei / kg,,Grapes,BARLAD
1/1/2023, Vaslui,Jan-23, Lei / kg,,Grapes,BARLAD
2/1/2023, Vaslui,Feb-23, Lei / kg,,Grapes,BARLAD
3/1/2023, Vaslui,Mar-23, Lei / kg,,Grapes,BARLAD
4/1/2023, Vaslui,Apr-23, Lei / kg,,Grapes,BARLAD
5/1/2023, Vaslui,May-23, Lei / kg,,Grapes,BARLAD
6/1/2023, Vaslui,Jun-23, Lei / kg,,Grapes,BARLAD
7/1/2023, Vaslui,Jul-23, Lei / kg,,Grapes,BARLAD
8/1/2023, Vaslui,Aug-23, Lei / kg,7,Grapes,BARLAD
9/1/2023, Vaslui,Sep-23, Lei / kg,6.5,Grapes,BARLAD
10/1/2023, Vaslui,Oct-23, Lei / kg,6.11,Grapes,BARLAD
11/1/2023, Vaslui,Nov-23, Lei / kg,,Grapes,BARLAD
